game_name,type,aspect,mentions,sentiment_percentage
Assassin's Creed Valhalla,advantage,Story,59,67.8
Assassin's Creed Valhalla,advantage,Difficulty,12,66.67
Assassin's Creed Valhalla,advantage,Music & Sound,3,66.67
Assassin's Creed Valhalla,advantage,Graphics,5,60.0
Assault Android Cactus,advantage,Music & Sound,4,100.0
Assault Android Cactus,advantage,Difficulty,10,90.0
Assault Android Cactus,advantage,Story,6,83.33
Assault Android Cactus,advantage,Replayability,5,80.0
Assault Android Cactus,advantage,Gameplay,10,80.0
Assault Android Cactus,advantage,Characters,9,77.78
Assault Android Cactus,advantage,Level Design,7,71.43
Astalon: Tears of the Earth,advantage,Characters,5,100.0
Astalon: Tears of the Earth,advantage,Level Design,4,100.0
Astalon: Tears of the Earth,advantage,Gameplay,9,88.89
Astalon: Tears of the Earth,advantage,Story,4,75.0
Astalon: Tears of the Earth,advantage,Difficulty,4,75.0
Astebreed,advantage,Replayability,4,75.0
Astebreed,advantage,Difficulty,3,66.67
Astebreed,advantage,Gameplay,5,60.0
Astral Ascent,advantage,Graphics,5,100.0
Astral Ascent,advantage,Difficulty,4,100.0
Astral Ascent,advantage,Gameplay,12,91.67
Astral Ascent,advantage,Characters,7,71.43
Astral Ascent,advantage,Replayability,3,66.67
Astral Chain,advantage,Story,25,100.0
Astral Chain,advantage,Graphics,8,100.0
Astral Chain,advantage,Difficulty,3,100.0
Astral Chain,advantage,Characters,12,100.0
Astral Chain,advantage,Replayability,5,100.0
Astral Chain,advantage,Gameplay,51,94.12
Astro Bot,advantage,Story,6,100.0
Astro Bot,advantage,Music & Sound,9,100.0
Astro Bot,advantage,Graphics,19,100.0
Astro Bot,advantage,Characters,10,100.0
Astro Bot,advantage,Level Design,32,100.0
Astro Bot,advantage,Performance,4,100.0
Astro Bot,advantage,Difficulty,19,100.0
Astro Bot,advantage,Gameplay,51,98.04
Astro Bot,advantage,Replayability,8,87.5
Astro Bot Rescue Mission,advantage,Characters,3,100.0
Astro Bot Rescue Mission,advantage,Difficulty,5,100.0
Astro Bot Rescue Mission,advantage,Gameplay,17,94.12
Astro Bot Rescue Mission,advantage,Level Design,9,88.89
Astro's Playroom,advantage,Gameplay,14,100.0
Astro's Playroom,advantage,Graphics,3,100.0
Astro's Playroom,advantage,Level Design,7,100.0
Astro's Playroom,advantage,Replayability,4,100.0
Astro's Playroom,advantage,Difficulty,10,80.0
Atari 50: The Anniversary Celebration,advantage,Replayability,6,83.33
Atari 50: The Anniversary Celebration,advantage,Difficulty,5,80.0
Atelier Dusk Trilogy Deluxe Pack,advantage,Difficulty,4,100.0
Atelier Dusk Trilogy Deluxe Pack,advantage,Replayability,3,100.0
Atelier Dusk Trilogy Deluxe Pack,advantage,Story,5,80.0
Atelier Lulua: The Scion of Arland,advantage,Difficulty,5,100.0
Atelier Lulua: The Scion of Arland,advantage,Characters,11,90.91
Atelier Lulua: The Scion of Arland,advantage,Graphics,6,83.33
Atelier Lulua: The Scion of Arland,advantage,Gameplay,18,72.22
Atelier Lulua: The Scion of Arland,advantage,Replayability,3,66.67
Atelier Lulua: The Scion of Arland,advantage,Story,11,63.64
Atelier Ryza 2: Lost Legends & the Secret Fairy,advantage,Graphics,3,100.0
Atelier Ryza 2: Lost Legends & the Secret Fairy,advantage,Characters,20,85.0
Atelier Ryza 2: Lost Legends & the Secret Fairy,advantage,Story,30,83.33
Atelier Ryza 2: Lost Legends & the Secret Fairy,advantage,Difficulty,11,81.82
Atelier Ryza 2: Lost Legends & the Secret Fairy,advantage,Level Design,5,80.0
Atelier Ryza 2: Lost Legends & the Secret Fairy,advantage,Gameplay,40,75.0
Atelier Ryza 2: Lost Legends & the Secret Fairy,advantage,Performance,3,66.67
Atelier Ryza 3: Alchemist of the End & the Secret Key,advantage,Performance,3,100.0
Atelier Ryza 3: Alchemist of the End & the Secret Key,advantage,Characters,14,92.86
Atelier Ryza 3: Alchemist of the End & the Secret Key,advantage,Gameplay,30,86.67
Atelier Ryza 3: Alchemist of the End & the Secret Key,advantage,Story,13,76.92
Atelier Ryza 3: Alchemist of the End & the Secret Key,advantage,Difficulty,5,60.0
Atelier Ryza Secret Trilogy Deluxe Pack,advantage,Gameplay,5,100.0
Atelier Ryza Secret Trilogy Deluxe Pack,advantage,Story,6,100.0
Atelier Ryza Secret Trilogy Deluxe Pack,advantage,Graphics,4,100.0
Atelier Ryza Secret Trilogy Deluxe Pack,advantage,Characters,5,100.0
Atelier Ryza Secret Trilogy Deluxe Pack,advantage,Difficulty,3,100.0
Atelier Ryza Secret Trilogy Deluxe Pack,advantage,Performance,6,100.0
Atelier Ryza Secret Trilogy Deluxe Pack,advantage,Replayability,11,81.82
Atelier Ryza: Ever Darkness & the Secret Hideout,advantage,Graphics,9,100.0
Atelier Ryza: Ever Darkness & the Secret Hideout,advantage,Gameplay,15,80.0
Atelier Ryza: Ever Darkness & the Secret Hideout,advantage,Characters,12,75.0
Atelier Ryza: Ever Darkness & the Secret Hideout,advantage,Story,18,72.22
Atelier Sophie 2: The Alchemist & The Mysterious Dream,advantage,Characters,13,84.62
Atelier Sophie 2: The Alchemist & The Mysterious Dream,advantage,Music & Sound,4,75.0
Atelier Sophie 2: The Alchemist & The Mysterious Dream,advantage,Gameplay,30,73.33
Atelier Sophie 2: The Alchemist & The Mysterious Dream,advantage,Story,24,70.83
Atelier Sophie 2: The Alchemist & The Mysterious Dream,advantage,Difficulty,8,62.5
Athenian Rhapsody,advantage,Difficulty,4,75.0
Athenian Rhapsody,advantage,Story,3,66.67
Atlas Reactor,advantage,Gameplay,3,66.67
Atomic Heart: Enchantment Under the Sea,advantage,Gameplay,7,71.43
Atomic Heart: Enchantment Under the Sea,advantage,Story,7,71.43
Atomic Heart: Enchantment Under the Sea,advantage,Level Design,3,66.67
Augmented Empire,advantage,Story,4,75.0
Aureole - Wings of Hope,advantage,Gameplay,3,100.0
Aureole - Wings of Hope,advantage,Difficulty,4,75.0
Aviary Attorney: Definitive Edition,advantage,Story,4,100.0
Aviary Attorney: Definitive Edition,advantage,Characters,3,100.0
Avicii Invector,advantage,Gameplay,7,100.0
Avicii Invector,advantage,Story,3,100.0
Avicii Invector,advantage,Graphics,6,100.0
Avicii Invector,advantage,Music & Sound,23,86.96
Avicii Invector,advantage,Difficulty,11,81.82
Avowed,advantage,Difficulty,16,81.25
Avowed,advantage,Replayability,10,80.0
Avowed,advantage,Characters,30,76.67
Avowed,advantage,Music & Sound,3,66.67
Avowed,advantage,Level Design,14,64.29
Avowed,advantage,Story,85,63.53
Avowed,advantage,Graphics,10,60.0
Axiom Verge,advantage,Level Design,8,87.5
Axiom Verge,advantage,Gameplay,20,85.0
Axiom Verge,advantage,Music & Sound,5,80.0
Axiom Verge,advantage,Difficulty,14,78.57
Axiom Verge,advantage,Graphics,4,75.0
Axiom Verge,advantage,Story,8,62.5
BALL x PIT,advantage,Characters,10,100.0
BALL x PIT,advantage,Replayability,5,100.0
BALL x PIT,advantage,Music & Sound,6,100.0
BALL x PIT,advantage,Graphics,8,87.5
BALL x PIT,advantage,Difficulty,14,85.71
BALL x PIT,advantage,Gameplay,33,84.85
BALL x PIT,advantage,Level Design,6,83.33
BYE-BYE BOXBOY!,advantage,Gameplay,6,100.0
BYE-BYE BOXBOY!,advantage,Difficulty,4,75.0
Baba Is You,advantage,Gameplay,5,100.0
Baba Is You,advantage,Music & Sound,3,100.0
Backfirewall,advantage,Gameplay,4,100.0
Backfirewall,advantage,Characters,4,100.0
Backfirewall,advantage,Story,6,83.33
Backyard Baseball '97,advantage,Gameplay,5,60.0
Bakeru,advantage,Graphics,3,100.0
Bakeru,advantage,Level Design,6,83.33
Bakeru,advantage,Difficulty,5,80.0
Bakeru,advantage,Gameplay,18,77.78
Bakeru,advantage,Characters,3,66.67
Bakeru,advantage,Performance,5,60.0
Balatro,advantage,Gameplay,19,100.0
Balatro,advantage,Graphics,3,100.0
Balatro,advantage,Difficulty,18,100.0
Baldur's Gate 3,advantage,Gameplay,42,100.0
Baldur's Gate 3,advantage,Level Design,12,100.0
Baldur's Gate 3,advantage,Difficulty,11,100.0
Baldur's Gate 3,advantage,Story,51,98.04
Baldur's Gate 3,advantage,Characters,37,97.3
Baldur's Gate 3,advantage,Performance,17,94.12
Baldur's Gate 3,advantage,Replayability,12,91.67
Baldur's Gate 3,advantage,Graphics,8,87.5
Baldur's Gate 3,advantage,Music & Sound,6,83.33
Bang-On Balls: Chronicles,advantage,Gameplay,6,66.67
Bang-On Balls: Chronicles,advantage,Level Design,5,60.0
Bastion,advantage,Music & Sound,11,100.0
Bastion,advantage,Difficulty,8,87.5
Bastion,advantage,Story,15,86.67
Bastion,advantage,Characters,10,80.0
Bastion,advantage,Replayability,5,80.0
Bastion,advantage,Graphics,9,77.78
Bastion,advantage,Gameplay,22,77.27
Batman: Arkham Knight,advantage,Level Design,3,100.0
Batman: Arkham Knight,advantage,Graphics,10,90.0
Batman: Arkham Knight,advantage,Story,36,80.56
Batman: Arkham Knight,advantage,Gameplay,33,78.79
Batman: Arkham Knight,advantage,Difficulty,5,60.0
Batman: Arkham Knight,disadvantage,Difficulty,5,20.0
Batman: Arkham Shadow,advantage,Story,14,100.0
Batman: Arkham Shadow,advantage,Level Design,4,100.0
Batman: Arkham Shadow,advantage,Replayability,3,100.0
Batman: Arkham Shadow,advantage,Gameplay,15,93.33
Batman: Arkham Shadow,advantage,Performance,5,80.0
Batman: Arkham Shadow,advantage,Difficulty,4,75.0
Batman: The Enemy Within - Episode 5,advantage,Story,9,100.0
Batman: The Enemy Within - Episode 5,advantage,Characters,4,100.0
Batman: The Enemy Within - Episode 5,advantage,Replayability,3,100.0
Batman: The Enemy Within - The Complete Season,advantage,Story,9,77.78
Batman: The Enemy Within - The Complete Season,advantage,Gameplay,4,75.0
Batman: The Enemy Within - The Complete Season,advantage,Characters,6,66.67
Battle Chef Brigade,advantage,Gameplay,15,100.0
Battle Chef Brigade,advantage,Story,11,100.0
Battle Chef Brigade,advantage,Graphics,3,100.0
